trade_number,date,platform,transaction_type,amount,price,currency,transfer_method,order_invoice_number,platform_fee
,2024-02-26 17:30:08,Binance,Sell,215.05,0.93,EUR,SEPA,20595484650922000384,0.0
,2024-02-26 17:57:18,Binance,Buy,3920.04,0.921,EUR,SEPA,20595491485871427584,0.0
,2024-02-27 15:28:47,Binance,Buy,1200.0,0.922,EUR,SEPA,20595816501026742272,0.0
,2024-02-28 15:56:12,Binance,Sell,107.41,0.931,EUR,SEPA,20596185785817387008,0.0
,2024-02-28 16:03:27,Binance,Sell,245.7,4.07,PLN,ZEN,20596187612066512896,0.24
,2024-02-28 16:09:54,Binance,Sell,107.41,0.931,EUR,SEPA,20596189237072658432,0.0
,2024-02-28 16:18:42,Binance,Buy,2600.0,0.922,EUR,SEPA,20596191449971703808,0.0
,2024-02-28 16:23:51,Binance,Buy,1100.0,0.922,EUR,SEPA,20596192746085355520,0.0
,2024-02-28 16:35:10,Binance,Sell,451.12,0.931,EUR,SEPA,20596195594927292416,0.0
,2024-02-28 18:35:36,Binance,Buy,1179.95,0.922,EUR,SEPA,20596225900436029440,0.0
,2024-02-29 17:22:33,Binance,Buy,5000.0,0.925,EUR,SEPA,20596569906020954112,0.0
,2024-02-29 18:04:52,Binance,Sell,139.18,0.934,EUR,SEPA,20596580555780104192,0.0
,2024-02-29 18:20:06,Binance,Sell,107.06,0.934,EUR,SEPA,20596584389431218176,0.0
,2024-02-29 18:41:27,Binance,Sell,107.18,0.933,EUR,SEPA,20596589760420286464,0.0
,2024-02-29 19:22:39,Binance,Sell,98.03,4.08,PLN,ZEN,20596600131121025024,0.09
,2024-02-29 19:36:15,Binance,Sell,196.07,4.08,PLN,ZEN,20596603552058392576,0.19
,2024-02-29 19:53:33,Binance,Sell,535.9,0.933,EUR,SEPA,20596607904871264256,0.0
